date,state,district,pincode,demo_age_5_17,demo_age_17_
2025-11-18,Madhya Pradesh,Alirajpur,457885,0,2
2025-11-18,Madhya Pradesh,Alirajpur,457888,2,21
2025-11-18,Madhya Pradesh,Anuppur,484224,1,19
2025-11-18,Madhya Pradesh,Anuppur,484440,1,2
2025-11-18,Madhya Pradesh,Anuppur,484886,2,3
2025-11-18,Madhya Pradesh,Balaghat,481051,1,7
2025-11-18,Madhya Pradesh,Balaghat,481105,1,13
2025-11-18,Madhya Pradesh,Balaghat,481111,0,4
2025-11-18,Madhya Pradesh,Balaghat,481224,0,4
2025-11-18,Madhya Pradesh,Balaghat,481331,1,12
2025-11-18,Madhya Pradesh,Barwani,451449,0,15
2025-11-18,Madhya Pradesh,Barwani,451660,1,6
2025-11-18,Madhya Pradesh,Barwani,451666,7,67
2025-11-18,Madhya Pradesh,Barwani,451770,2,15
2025-11-18,Madhya Pradesh,Betul,460449,5,3
2025-11-18,Madhya Pradesh,Betul,460553,2,1
2025-11-18,Madhya Pradesh,Betul,460661,9,22
2025-11-18,Madhya Pradesh,Betul,461441,0,1
2025-11-18,Madhya Pradesh,Bhind,477332,1,6
2025-11-18,Madhya Pradesh,Bhopal,462002,0,1
2025-11-18,Madhya Pradesh,Bhopal,462016,2,20
2025-11-18,Madhya Pradesh,Bhopal,462024,0,5
2025-11-18,Madhya Pradesh,Bhopal,462036,0,8
2025-11-18,Madhya Pradesh,Bhopal,462044,1,10
2025-11-18,Madhya Pradesh,Bhopal,462047,2,9
2025-11-18,Madhya Pradesh,Bhopal,462420,0,15
2025-11-18,Madhya Pradesh,Bhopal,463111,0,5
2025-11-18,Madhya Pradesh,Chhatarpur,471105,1,8
2025-11-18,Madhya Pradesh,Chhatarpur,471111,2,14
2025-11-18,Madhya Pradesh,Chhatarpur,471201,6,25
2025-11-18,Madhya Pradesh,Chhatarpur,471405,1,42
2025-11-18,Madhya Pradesh,Chhatarpur,471515,3,34
2025-11-18,Madhya Pradesh,Chhatarpur,471625,1,4
2025-11-18,Madhya Pradesh,Chhindwara,480105,1,3
2025-11-18,Madhya Pradesh,Chhindwara,480107,2,9
2025-11-18,Madhya Pradesh,Chhindwara,480109,1,5
2025-11-18,Madhya Pradesh,Chhindwara,480110,2,9
2025-11-18,Madhya Pradesh,Chhindwara,480112,1,0
2025-11-18,Madhya Pradesh,Chhindwara,480221,1,20
2025-11-18,Madhya Pradesh,Chhindwara,480331,2,8
2025-11-18,Madhya Pradesh,Chhindwara,480338,0,2
2025-11-18,Madhya Pradesh,Chhindwara,480441,2,25
2025-11-18,Madhya Pradesh,Chhindwara,480447,1,7
2025-11-18,Madhya Pradesh,Chhindwara,480559,2,12
2025-11-18,Madhya Pradesh,Damoh,470664,1,9
2025-11-18,Madhya Pradesh,Damoh,470673,1,17
2025-11-18,Madhya Pradesh,Dewas,455001,10,56
2025-11-18,Madhya Pradesh,Dewas,455115,1,2
2025-11-18,Madhya Pradesh,Dewas,455118,2,20
2025-11-18,Madhya Pradesh,Dewas,455336,0,7
2025-11-18,Madhya Pradesh,Dewas,455339,0,3
2025-11-18,Madhya Pradesh,Dewas,456664,0,1
2025-11-18,Madhya Pradesh,Dhar,454441,1,13
2025-11-18,Madhya Pradesh,East Nimar,450112,0,2
2025-11-18,Madhya Pradesh,East Nimar,450661,1,6
2025-11-18,Madhya Pradesh,East Nimar,450771,0,3
2025-11-18,Madhya Pradesh,East Nimar,450991,1,1
2025-11-18,Madhya Pradesh,Guna,473101,1,27
2025-11-18,Madhya Pradesh,Guna,473110,0,8
2025-11-18,Madhya Pradesh,Guna,473226,0,10
2025-11-18,Madhya Pradesh,Guna,473287,3,23
2025-11-18,Madhya Pradesh,Guna,473446,0,2
2025-11-18,Madhya Pradesh,Gwalior,474012,1,27
2025-11-18,Madhya Pradesh,Harda *,461251,0,2
2025-11-18,Madhya Pradesh,Hoshangabad,461001,2,16
2025-11-18,Madhya Pradesh,Indore,452001,9,76
2025-11-18,Madhya Pradesh,Indore,452003,2,18
2025-11-18,Madhya Pradesh,Indore,452010,9,71
